Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Active
Afghanistan,33.93911,67.709953,2020-01-22,7270,111,2880,4279
Afghanistan,33.93911,67.709953,2020-01-23,860,9,378,473
Afghanistan,33.93911,67.709953,2020-01-24,5390,216,2695,2479
Afghanistan,33.93911,67.709953,2020-01-25,5191,180,1795,3216
Afghanistan,33.93911,67.709953,2020-01-26,5734,218,3139,2377
Afghanistan,33.93911,67.709953,2020-01-27,6265,116,3947,2202
Afghanistan,33.93911,67.709953,2020-01-28,466,7,274,185
Afghanistan,33.93911,67.709953,2020-01-29,4426,46,972,3408
Afghanistan,33.93911,67.709953,2020-01-30,5578,134,2455,2989
Afghanistan,33.93911,67.709953,2020-01-31,8322,279,2101,5942
Afghanistan,33.93911,67.709953,2020-02-01,1685,43,540,1102
Afghanistan,33.93911,67.709953,2020-02-02,769,21,533,215
Afghanistan,33.93911,67.709953,2020-02-03,6949,320,1884,4745
Afghanistan,33.93911,67.709953,2020-02-04,2433,58,1093,1282
Afghanistan,33.93911,67.709953,2020-02-05,5311,162,2703,2446
Afghanistan,33.93911,67.709953,2020-02-06,5051,208,2784,2059
Afghanistan,33.93911,67.709953,2020-02-07,6420,166,3080,3174
Afghanistan,33.93911,67.709953,2020-02-08,1184,41,242,901
Afghanistan,33.93911,67.709953,2020-02-09,4555,202,1654,2699
Afghanistan,33.93911,67.709953,2020-02-10,3385,162,1553,1670
Afghanistan,33.93911,67.709953,2020-02-11,6396,101,1560,4735
Afghanistan,33.93911,67.709953,2020-02-12,8666,407,3252,5007
Afghanistan,33.93911,67.709953,2020-02-13,9274,275,2008,6991
Afghanistan,33.93911,67.709953,2020-02-14,2558,52,612,1894
Afghanistan,33.93911,67.709953,2020-02-15,7849,222,3127,4500
Afghanistan,33.93911,67.709953,2020-02-16,2047,100,545,1402
Afghanistan,33.93911,67.709953,2020-02-17,2747,81,1328,1338
Afghanistan,33.93911,67.709953,2020-02-18,9167,212,4993,3962
Afghanistan,33.93911,67.709953,2020-02-19,9998,353,6001,3644
Afghanistan,33.93911,67.709953,2020-02-20,189,3,56,130
Afghanistan,33.93911,67.709953,2020-02-21,2734,35,775,1924
Afghanistan,33.93911,67.709953,2020-02-22,3005,45,758,2202
Afghanistan,33.93911,67.709953,2020-02-23,4658,70,2413,2175
Afghanistan,33.93911,67.709953,2020-02-24,1899,30,1050,819
Afghanistan,33.93911,67.709953,2020-02-25,7734,120,1668,5946
Afghanistan,33.93911,67.709953,2020-02-26,1267,45,846,376
Afghanistan,33.93911,67.709953,2020-02-27,1528,26,345,1157
Afghanistan,33.93911,67.709953,2020-02-28,3556,84,1673,1799
Afghanistan,33.93911,67.709953,2020-02-29,3890,178,2157,1555
Afghanistan,33.93911,67.709953,2020-03-01,8838,255,5616,2967
Afghanistan,33.93911,67.709953,2020-03-02,5393,197,3004,2192
Afghanistan,33.93911,67.709953,2020-03-03,8792,148,5282,3362
Afghanistan,33.93911,67.709953,2020-03-04,8433,149,3117,5167
Afghanistan,33.93911,67.709953,2020-03-05,7513,87,4563,2863
Afghanistan,33.93911,67.709953,2020-03-06,2612,43,627,1942
Afghanistan,33.93911,67.709953,2020-03-07,7041,148,4558,2335
Afghanistan,33.93911,67.709953,2020-03-08,9555,163,4527,4865
Afghanistan,33.93911,67.709953,2020-03-09,6235,84,3794,2357
Afghanistan,33.93911,67.709953,2020-03-10,5486,81,2337,3068
Afghanistan,33.93911,67.709953,2020-03-11,7099,201,3704,3194
Afghanistan,33.93911,67.709953,2020-03-12,9670,176,4479,5015
Afghanistan,33.93911,67.709953,2020-03-13,775,19,438,318
Afghanistan,33.93911,67.709953,2020-03-14,8226,247,1980,5999
Afghanistan,33.93911,67.709953,2020-03-15,3152,118,725,2309
Afghanistan,33.93911,67.709953,2020-03-16,1585,18,512,1055
Afghanistan,33.93911,67.709953,2020-03-17,3943,165,1103,2675
Afghanistan,33.93911,67.709953,2020-03-18,7555,265,4804,2486
Afghanistan,33.93911,67.709953,2020-03-19,3073,40,951,2082
Afghanistan,33.93911,67.709953,2020-03-20,1021,45,702,274
Afghanistan,33.93911,67.709953,2020-03-21,3843,179,1415,2249
Afghanistan,33.93911,67.709953,2020-03-22,7989,99,2325,5565
Afghanistan,33.93911,67.709953,2020-03-23,9692,204,5765,3723
Afghanistan,33.93911,67.709953,2020-03-24,6873,290,3638,2945
Afghanistan,33.93911,67.709953,2020-03-25,5675,226,2548,2901
Afghanistan,33.93911,67.709953,2020-03-26,161,2,76,83
Afghanistan,33.93911,67.709953,2020-03-27,4297,78,2404,1815
Afghanistan,33.93911,67.709953,2020-03-28,995,24,312,659
Afghanistan,33.93911,67.709953,2020-03-29,7629,224,5326,2079
Afghanistan,33.93911,67.709953,2020-03-30,9467,328,6507,2632
Afghanistan,33.93911,67.709953,2020-03-31,1016,25,533,458
Afghanistan,33.93911,67.709953,2020-04-01,7869,224,2358,5287
Afghanistan,33.93911,67.709953,2020-04-02,6439,256,3477,2706
Afghanistan,33.93911,67.709953,2020-04-03,7892,90,1863,5939
Afghanistan,33.93911,67.709953,2020-04-04,6863,137,1477,5249
Afghanistan,33.93911,67.709953,2020-04-05,7916,305,2603,5008
Afghanistan,33.93911,67.709953,2020-04-06,8529,390,3678,4461
Afghanistan,33.93911,67.709953,2020-04-07,878,26,556,296
Afghanistan,33.93911,67.709953,2020-04-08,9268,289,5223,3756
Afghanistan,33.93911,67.709953,2020-04-09,4887,69,2792,2026
Afghanistan,33.93911,67.709953,2020-04-10,4859,135,2005,2719
Afghanistan,33.93911,67.709953,2020-04-11,6331,198,2361,3772
Afghanistan,33.93911,67.709953,2020-04-12,8571,168,3304,5099
Afghanistan,33.93911,67.709953,2020-04-13,8684,180,6025,2479
Afghanistan,33.93911,67.709953,2020-04-14,7208,180,1586,5442
Afghanistan,33.93911,67.709953,2020-04-15,5276,56,3342,1878
Afghanistan,33.93911,67.709953,2020-04-16,2062,47,1009,1006
Afghanistan,33.93911,67.709953,2020-04-17,64,1,26,37
Afghanistan,33.93911,67.709953,2020-04-18,8006,184,4504,3318
Afghanistan,33.93911,67.709953,2020-04-19,2568,37,1138,1393
Afghanistan,33.93911,67.709953,2020-04-20,5463,249,3478,1736
Afghanistan,33.93911,67.709953,2020-04-21,2027,68,1318,641
Afghanistan,33.93911,67.709953,2020-04-22,2695,100,1107,1488
Afghanistan,33.93911,67.709953,2020-04-23,9687,402,3278,6007
Afghanistan,33.93911,67.709953,2020-04-24,5258,157,2608,2493
Afghanistan,33.93911,67.709953,2020-04-25,5618,75,3686,1857
